,sentence,subject
4977,"Veterinary epidemiologists work closely with farmers, veterinarians, and government agencies to implement disease control strategies.",Agriculture
2698,The theory has been influential in the development of linguistic theory and has been applied to a variety of languages.,Linguistics
13710,The ability to handle large amounts of data makes NoSQL databases a popular choice in statistics.,Statistics
9825,The demand curve faced by a single firm in a perfectly competitive market is perfectly elastic.,Economics
13075,"Sociologists also investigate how migration affects the economy, culture, and politics of both the sending and receiving countries.",Sociology
8821,"Mobile devices have limited processing power and memory, posing unique challenges for software engineers.",Computer Science
7714,A budget helps to prioritize business expenses and investments.,Business
5764,It involves the analysis of how power is distributed and exercised within and between societies.,Anthropology
9573,It is an important tool for policymakers to evaluate the impact of their policies on consumer welfare.,Economics
1350,American imperialism was often justified as a means of spreading democracy and civilization to 'backward' nations.,History
6580,"Astrometry is used to study the properties of celestial objects, such as their distance, velocity, and acceleration.",Astronomy
16276,"Achieving escape velocity is a critical component of space missions, as it allows spacecraft to travel to other planets and celestial bodies.",Aerospace Engineering
8639,It is an important concept in organic chemistry.,Chemistry
17000,"The Treaty of Paris was signed in 1783, officially ending the American Revolutionary War.",American Studies
11709,The enthalpy of a system is equal to its internal energy plus the product of its pressure and volume.,Physics
14836,Internal audit identifies areas for improvement in internal controls.,Accounting
1705,The Revolution was sparked by the financial crisis faced by the French monarchy in the late 18th century.,History
8139,The diffraction pattern produced by the scattered X-rays can be used to determine the three-dimensional structure of the crystal.,Chemistry
16192,"Aerodynamic testing involves the use of sensors and cameras to measure and record data on airflow, pressure, and temperature.",Aerospace Engineering
1418,"The Volstead Act, passed in 1919, provided for the enforcement of Prohibition and defined intoxicating liquors as any beverage containing more than 0.5% alcohol.",History
